FID,My_FID3,Placename,Alt_names,ModernName,Confidence,Notes,Type,FID_Relate,Relation,Start_Date,End_Date,References,Type_URL,X,Y,Time_span
110,366,Teticpan,Teticpac;Teticpaque;Mini Yuu;Zetoba,Teitipac,1, , ,0, ,,,Acuña 1984;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-96.60416667,16.92888889,https://en.wikipedia.org/wiki/16th_century
24,367,Tetiquipa Río Hondo,Río Hondo;Tetiquipa;Xaltengo;Yegoyuxi;Yego Yuxi,Río Hondo,1, , ,0, ,,,Acuña 1984;Google Maps,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-96.44889506,16.14445272,https://en.wikipedia.org/wiki/16th_century
176,369,Tetzapocan,San Lucas Tetzapocan;San Lucas,San Lucas Zoquiapam?,2, ,Sujeto,374,Depends on,,,Acuña 1984;Google Maps, ,-96.906317,18.135909,https://en.wikipedia.org/wiki/16th_century
66,373,Pueblo de Teutila,Teutila,Teutila,1, ,Alcaldia Mayor,0, ,,,Acuña 1984;Tanck de Estrada 2005: Atlas 1800, ,-96.70416667,17.975,https://en.wikipedia.org/wiki/16th_century
114,374,Teutitlan, ,Teotitlan Del Camino,1, , ,0, ,,,Acuña 1984;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-97.07222222,18.1325,https://en.wikipedia.org/wiki/16th_century
75,375,Teutlilhuacan,Santa Cruz Teutlilhuacan,Santa Cruz Acatepec,1, ,Sujeto,374,Depends on,,,Acuña 1984;Google Maps;Google Earth;unikloc10gw, ,-96.875899,18.163164,https://en.wikipedia.org/wiki/16th_century
96,376,Texupa,Ñu Ndaa;Ñundaa,Villa Tejupam De La Union,1, , ,0, ,,,Acuña 1984;INEGI: MEX_topoloc,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-97.4693021,17.66445402,https://en.wikipedia.org/wiki/16th_century
206,380,Tilantongo Ilhuicalli,Ñutnoo Huahindehui, ,1,Peña,Hill,194,Under,,,Acuña 1984;Allocated by research,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=710,-97.34020904,17.28077169,https://en.wikipedia.org/wiki/16th_century
109,381,Tlacoazintepeque, ,Tlacoatzintepec,1, , ,0, ,,,Acuña 1984;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-96.58611111,17.85972222,https://en.wikipedia.org/wiki/16th_century
51,382,Valle de Tlacolula, , ,2, ,Valley,0, ,,,Acuña 1984;Allocated by research,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=1197,-96.51664278,16.97077094,https://en.wikipedia.org/wiki/16th_century
84,383,Tlacotepec,San Sebastián;San Sebastián Tlacotepeque;Tlacotepeque;Tlacotepec de Tehuantepec,Tlacotepec,1, ,Sujeto,344,Depends on,,,Acuña 1984;Tanck de Estrada 2005: Atlas 1800, ,-95.20222222,16.50361111,https://en.wikipedia.org/wiki/16th_century
12,385,Tlacchaguaya,Tlacuchaguaya,Tlacochahuaya de Morelos,1, , ,0, ,,,Acuña 1984;Google Maps;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-96.58102602,17.00790059,https://en.wikipedia.org/wiki/16th_century
72,387,Tlachiaco,Tlaxiaco,Tlaxiaco,1, , ,0, ,,,Acuña 1984;Google Maps;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-97.68003646,17.2676096,https://en.wikipedia.org/wiki/16th_century
36,391,Tlapanatepec, ,Tapanatepec,1, ,Sujeto,344,Depends on,,,Acuña 1984;Tanck de Estrada 2005: Atlas 1800, ,-94.19444444,16.36694444,https://en.wikipedia.org/wiki/16th_century
207,392,Cerro Tlapaxtepetl,Tlapaxtepetl, ,2, ,Hill,374,Near,,,Acuña 1984;Allocated by research,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=710,-97.05901896,18.13490998,https://en.wikipedia.org/wiki/16th_century
180,393,Tlatlatepeque, ,Tataltepec,1, , ,0, ,,,Acuña 1984;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-97.39305556,17.14027778,https://en.wikipedia.org/wiki/16th_century
10,394,Tlaxcala, ,Tlaxcala,1, , ,0, ,,,Acuña 1984;Google Maps;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-98.23772243,19.31748594,https://en.wikipedia.org/wiki/16th_century
129,400,Toagui,Toagui Santa Ana,Santa Ana Del Río,1, ,Sujeto,168,Depends on,,,Acuña 1984;Tanck de Estrada 2005: Atlas 1800, ,-96.17416667,16.83611111,https://en.wikipedia.org/wiki/16th_century
39,404,Tonameca, ,Santa Maria Tonameca,1, , ,0, ,,,Acuña 1984;Google Maps;INEGI: MEX_topoloc,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-96.54545655,15.74729986,https://en.wikipedia.org/wiki/16th_century
