FID,My_FID5,Placename,Alt_names,ModernName,Confidence,Notes,Type,FID_Relate,Relation,My_FID5,Type2,FID_Relat2,References,Type_URL,Time_span,X,Y
130,90,Tuxtla, ,Tuxtla,1, ,Villa,0, ,90, ,0,Acuña 1985;Tanck de Estrada 2005: Atlas 1800, ,https://en.wikipedia.org/wiki/16th_century,-95.29944444,18.46166667
462,91,Caxoacan, ,Caxhuacan,2, ,Sujeto,281,Depends on,91, ,0,Acuña 1985;Melgarejo Vivanco 1949;GeoNames_MX, ,https://en.wikipedia.org/wiki/16th_century,-97.60638889,20.06388889
3,92,Cempoala, ,Zempoala,2, ,River,0, ,92, ,0,Acuña 1985;Allocated by research,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=960,https://en.wikipedia.org/wiki/16th_century,-96.40962874,19.4415144
452,93,Centzonatlan, , ,2,Dissapeared. Glosa de la pintura de Xalapa,Pueblo,0, ,93, ,0,Acuña 1985;GeoNames_MX,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,https://en.wikipedia.org/wiki/16th_century,-96.63296,19.93809
422,94,Cerro Corto,Cerro Gordo;Venta del Cerro Corto,Cerro Gordo,1,Glosa de la pintura de Xalapa,Inn,0, ,94, ,0,Acuña 1985;GeoNames_MX,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=143,https://en.wikipedia.org/wiki/16th_century,-96.7004,19.43336
208,95,Cerro de Ceniza, , ,2, ,Hill,6,Near,95, ,0,Acuña 1985;Allocated by research,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=710,https://en.wikipedia.org/wiki/16th_century,-98.03277653,18.21747178
209,97,Cerro de la Culebra de Estera,Petlalcoatepec,La Vibora,2, ,Hill,329,Near,97, ,0,Acuña 1985;Toponimos50k,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=710,https://en.wikipedia.org/wiki/16th_century,-97.91393118,18.11499115
405,98,Ceyucan, , ,2,Dissapeared. Glosa de la pintura de Veracruz,Pueblo,0, ,98, ,0,Acuña 1985;GeoNames_MX;Allocated by research,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,https://en.wikipedia.org/wiki/16th_century,-96.75937,19.23453
445,99,Cihuacoatlan, , ,2,Dissapeared. 14 leagues far from Xalapa, ,28,Near,99, ,0,Acuña 1985;Melgarejo 1949,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,https://en.wikipedia.org/wiki/16th_century,-96.779144,19.8756
59,101,Chapultepec, ,Chapultepec,1, ,Cabecera,28,Depends on,101, ,0,Acuña 1985;Tanck de Estrada 2005: Atlas 1800, ,https://en.wikipedia.org/wiki/16th_century,-96.94,19.6775
238,102,Sierra de Cimayan,Cimayan, ,2, , ,0, ,102, ,0,Acuña 1985;Allocated by research,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,https://en.wikipedia.org/wiki/16th_century,-97.83262863,19.81040258
165,103,Citlan,Miahua Ixtlahuacan, ,2,"It was 1/4 leagues far from Chilapa, previous location", ,0, ,103, ,0,Acuña 1985;Allocated by research,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,https://en.wikipedia.org/wiki/16th_century,-99.16653888,17.60937833
436,104,Cipactlan, , ,2,Dissapeared,Pueblo,772,Near,104, ,0,Acuña 1985;GeoNames_MX,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,https://en.wikipedia.org/wiki/16th_century,-96.80264,19.71123
265,110,San Pedro Coaixtlahuacan, ,Coaxtlahuacan,1, ,Estancia,244,Depends on,110, ,0,Acuña 1985;GeoNames_MX, ,https://en.wikipedia.org/wiki/16th_century,-99.347222,17.391667
172,111,Coatepec,Cohuatepec,Coatepec,1, ,Sujeto,281,Depends on,111, ,0,Acuña 1985;Tanck de Estrada 2005: Atlas 1800, ,https://en.wikipedia.org/wiki/16th_century,-97.7325,20.06166667
25,112,Coatzacualco,Villa del Espíritu Santo,Villa Allende,1, ,Villa,0, ,112, ,0,Acuña 1985;Scholes and Roys 1996;Google Maps, ,https://en.wikipedia.org/wiki/16th_century,-94.385122,18.14741
62,113,Coatzingo,Coatzinco,Coatzingo,1, , ,0, ,113, ,0,Acuña 1985;INEGI: MEX_topoloc,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,https://en.wikipedia.org/wiki/16th_century,-98.17321154,18.61575587
17,114,Coayango, ,Coyayango (Coyay),1, , ,0, ,114, ,0,Acuña 1985;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,https://en.wikipedia.org/wiki/16th_century,-97.75611111,20.08388889
20,119,Colipan,Colipa,Colipa,1, ,Cabecera,28,Depends on,119, ,0,Acuña 1985;INEGI: MEX_topoloc, ,https://en.wikipedia.org/wiki/16th_century,-96.72825737,19.92360265
239,120,Colotlicpac,Coloticpac;Colotlipan,Colotlipa,1, ,Estancia,260,Depends on,120, ,0,Acuña 1985;Tanck de Estrada 2005: Atlas 1800, ,https://en.wikipedia.org/wiki/16th_century,-99.16555556,17.40972222
467,122,San Antonio Comulco,Comulco,Comulco,1, ,Estancia,774,Depends on,122, ,0,Acuña 1985;GeoNames_MX, ,https://en.wikipedia.org/wiki/16th_century,-97.08107,18.46186
370,123,Concepción,La Concepción,Concepción Pardiñas,2, ,Estancia,608,Depends on,123, ,0,Acuña 1985;GeoNames_MX, ,https://en.wikipedia.org/wiki/16th_century,-97.978056,18.96
369,124,Concepción de Nuestra Señora, ,La Concepción,2, ,Sujeto,363,Depends on,124, ,0,Acuña 1985;GeoNames_MX, ,https://en.wikipedia.org/wiki/16th_century,-97.66995,18.95987
351,126,Copaltlecume,Cu Paltequme;Cu Patelqueme,Archaeological site not identifed,2,Glosa de la pintura de Veracruz, ,0, ,126, ,0,Acuña 1985;GeoNames_MX,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,https://en.wikipedia.org/wiki/16th_century,-96.20587,18.91629
212,128,Cotzoltepequec,Cotzoltepeque, ,2, ,Mountain Range,725,Near,128, ,0,Acuña 1985;Allocated by research,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=708,https://en.wikipedia.org/wiki/16th_century,-97.57653902,20.04784096
279,129,Coyapesco, ,Zoyapexco,2, ,Estancia,260,Depends on,129, ,0,Acuña 1985;GeoNames_MX, ,https://en.wikipedia.org/wiki/16th_century,-99.021944,17.601111
196,130,Cozahuatlan,San Martín;San Martín Cozahuatlan;Cozauhtlan,Cosautlán de Carvajal,1, ,Estancia,224,Depends on,130, ,0,Acuña 1985;Atlas 2010, ,https://en.wikipedia.org/wiki/16th_century,-96.991111,19.3325
