FID,My_FID1,Placename,Alt_names,ModernName,Confidence,Notes,FID_Relate,Relation,Start_Date,End_Date,References,Type,Type_URL,X,Y,Time_span
203,303,Tiltepeque, ,San Juan Tiltepec,1, ,0, ,30/12/1899 00:00:00,30/12/1899 00:00:00,GeoNames_GT,Pueblo,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-93.81527177,16.11000903,https://en.wikipedia.org/wiki/16th_century
87,304,Tizapa, , ,2, ,0, ,30/12/1899 00:00:00,30/12/1899 00:00:00,Allocated by research, , ,-89.78377313,13.84850015,https://en.wikipedia.org/wiki/16th_century
48,305,Tlapachula, ,Tapachula,1, ,0, ,30/12/1899 00:00:00,30/12/1899 00:00:00,Gerhard 1972 SE Frontier;Tanck de Estrada 2005: Atlas 1800, , ,-92.26055556,14.90805556,https://en.wikipedia.org/wiki/16th_century
70,307,Tlaxcala, ,Tlaxcala,1, ,0, ,30/12/1899 00:00:00,30/12/1899 00:00:00,Del Paso y Troncoso 1905;Google Maps;Tanck de Estrada 2005: Atlas 1800, ,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-98.23772243,19.31748594,https://en.wikipedia.org/wiki/16th_century
60,308,Tolimán,Tolimán Alto;Tolimán Bajo;Tulimán;Tulimanes;San Lucas;San Lucas Tolimán, ,1, ,0, ,30/12/1899 00:00:00,30/12/1899 00:00:00,HGIS_Indias, , ,-91.14029,14.63374,https://en.wikipedia.org/wiki/16th_century
47,310,Tonalá, ,Tonalá,1, ,0, ,30/12/1899 00:00:00,30/12/1899 00:00:00,Gerhard 1972 SE Frontier;GeoNames_MX, , ,-93.7593002,16.0867996,https://en.wikipedia.org/wiki/16th_century
30,312,Totonicapa, ,Totonicapa,1, ,0, ,30/12/1899 00:00:00,30/12/1899 00:00:00,HGIS_Indias, , ,-91.35983,14.91124,https://en.wikipedia.org/wiki/16th_century
11,314,Trujillo, ,Trujillo,1, ,0, ,30/12/1899 00:00:00,30/12/1899 00:00:00,HGIS_Indias, , ,-85.955223,15.917268,https://en.wikipedia.org/wiki/16th_century
16,316,Tucurub,San Miguel Tucurub,San Miguel Tucuru,1, ,324,Depends on,30/12/1899 00:00:00,30/12/1899 00:00:00,HGIS_Indias,Estancia, ,-90.11849,15.294,https://en.wikipedia.org/wiki/16th_century
52,317,Tustla,Tuxtla;Tuxtla-Cacaguatán;Cacaguatán,Tuxtla Chico,1, ,0, ,30/12/1899 00:00:00,30/12/1899 00:00:00,Gerhard 1972 SE Frontier;Tanck de Estrada 2005: Atlas 1800, , ,-92.16805556,14.93888889,https://en.wikipedia.org/wiki/16th_century
49,318,Tuzantlán, ,Tuzantán,1, ,0, ,30/12/1899 00:00:00,30/12/1899 00:00:00,Gerhard 1972 SE Frontier;Tanck de Estrada 2005: Atlas 1800, , ,-92.42222222,15.14583333,https://en.wikipedia.org/wiki/16th_century
24,320,Osolutlán,Usulután,Usulután,1, ,0, ,30/12/1899 00:00:00,30/12/1899 00:00:00,HGIS_Indias, , ,-88.43753,13.34261,https://en.wikipedia.org/wiki/16th_century
31,321,Utatlán,Uhtlatlán;Tecpán Utatlán,Santa Lucia Utatan,1, ,0, ,30/12/1899 00:00:00,30/12/1899 00:00:00,HGIS_Indias, , ,-91.26519,14.7715,https://en.wikipedia.org/wiki/16th_century
188,322,Laguna de Uxaca, ,Lago de Guija,1, ,0, ,30/12/1899 00:00:00,30/12/1899 00:00:00,Longyear 1944,Lake,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=596,-89.52148237,14.25662026,https://en.wikipedia.org/wiki/16th_century
112,323,Veracruz, ,Veracruz,1, ,0, ,,,Acuña 1986;Google Maps,Harbor,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=485,-96.138136,19.20048293,https://en.wikipedia.org/wiki/16th_century
15,324,Verapaz,Verapaz y Zacatula,San Cristobal Verapaz,1, ,0, ,30/12/1899 00:00:00,30/12/1899 00:00:00,HGIS_Indias, , ,-90.47833,15.36543,https://en.wikipedia.org/wiki/16th_century
116,325,Volcán de Fuego, ,Volcán de Fuego,1, ,0, ,30/12/1899 00:00:00,30/12/1899 00:00:00,GoogleMaps,Volcano,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=1209,-90.88096,14.47461,https://en.wikipedia.org/wiki/16th_century
163,328,Xicalapa, ,Jicalapa,1, ,0, ,30/12/1899 00:00:00,30/12/1899 00:00:00,GoogleMaps, , ,-89.50703286,13.57119288,https://en.wikipedia.org/wiki/16th_century
204,330,Xocoloc,San Mateo;San Mateo Xocoloc;San Mateo Jocoloc;Jocoloc,San Felipe de Lara,1, ,0, ,30/12/1899 00:00:00,30/12/1899 00:00:00,Gavarrete y Cabrera 1991: 196,Pueblo,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-89.0030328,15.63639367,https://en.wikipedia.org/wiki/16th_century
85,333,Yupitepeque, ,Yupitepeque,1, ,0, ,30/12/1899 00:00:00,30/12/1899 00:00:00, , , ,-89.792707,14.197088,https://en.wikipedia.org/wiki/16th_century
84,334,Zacapa, ,Zacapa,1, ,0, ,30/12/1899 00:00:00,30/12/1899 00:00:00, , , ,-89.53204,14.96951,https://en.wikipedia.org/wiki/16th_century
63,335,Zamayaque,Zamayac;Samayaque,Zamayaque,1, ,0, ,30/12/1899 00:00:00,30/12/1899 00:00:00,HGIS_Indias, , ,-91.461558,14.582718,https://en.wikipedia.org/wiki/16th_century
42,337,Zumpango, ,Sumpango,1, ,0, ,30/12/1899 00:00:00,30/12/1899 00:00:00,HGIS_Indias, , ,-90.7353,14.64647,https://en.wikipedia.org/wiki/16th_century
