FID,My_FID4,Placename,Alt_names,ModernName,Confidence,Notes,Type,FID_Relate,Relation,Type2,References,Type_URL,Time_span,X,Y
157,69,Contlan, ,Contla,1, ,Barrio,0, , ,Acuña 1984;Google Maps, ,https://en.wikipedia.org/wiki/16th_century,-98.16844999,19.33444472
218,70,San Marcos Contlantzinco, ,San Miguel Contla,1, ,Barrio,0, , ,Acuña 1984;GeoNames_MX, ,https://en.wikipedia.org/wiki/16th_century,-98.1325,19.36111
245,71,Coyamatepeque, ,Coyametepec,1, ,Pueblo,0, , ,Acuña 1984;GeoNames_MX,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,https://en.wikipedia.org/wiki/16th_century,-98.197419,20.116683
116,72,Coyohuacan, ,Coyoacán,1, , ,0, , ,Acuña 1984;Atlas 2010,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,https://en.wikipedia.org/wiki/16th_century,-99.161944,19.35
211,73,Coyutepetl, ,Cerro Cuautzi,1, ,Hill,0, , ,Acuña 1984;GeoNames_MX,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=710,https://en.wikipedia.org/wiki/16th_century,-98.23456,19.34713
16,74,Cozcatlan,Cuzcatlan,Coxcatlan,1, , ,0, , ,Acuña 1984;INEGI: MEX_topoloc,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,https://en.wikipedia.org/wiki/16th_century,-97.15064989,18.26664894
37,75,Cozumel, ,Cozumel,1, , ,0, , ,Acuña 1984;INEGI: MEX_topoloc,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,https://en.wikipedia.org/wiki/16th_century,-86.94587284,20.50156211
121,76,Isla de Cuba,Cuba,Catedral de la Virgen María de la Concepción Inmaculada de La Habana,1, ,Island,0, , ,Acuña 1984;Google Maps,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=575,https://en.wikipedia.org/wiki/16th_century,-82.35189338,23.14143654
131,77,Cuetlaxtlan, ,Cotaxtla,1, , ,0, , ,Acuña 1984;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,https://en.wikipedia.org/wiki/16th_century,-96.39722222,18.83416667
2,78,Ocotelulco,Cuitlizco;Quitlizco;Cuitlixco;Tecpan Ocotelulco;Tecpan,Ocotelulco,1,Señorio,Cabecera,353,Depends on,Barrio,Acuña 1984;Gibson 1991;Tanck de Estrada 2005: Atlas 1800, ,https://en.wikipedia.org/wiki/16th_century,-98.2375,19.32972222
274,79,China, ,Beijing,1, ,Kingdom,0, , ,Acuña 1985;Google Maps,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=843,https://en.wikipedia.org/wiki/16th_century,116.3910143,39.92383583
275,80,España, ,San Lorenzo del Escorial,1, , ,0, , ,GoogleMaps, , ,-4.148009986,40.58901942
117,81,Culhuacan, ,Culhuacan,1, , ,0, , ,Acuña 1984;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,https://en.wikipedia.org/wiki/16th_century,-99.10694444,19.33777778
174,82,Chachapatzinco, ,Chachapa,2, ,Pueblo,0, , ,Acuña 1984;Reyes Garcia 1978,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,https://en.wikipedia.org/wiki/16th_century,-98.08333,19.03333
41,83,Chalco,Teotlacochalco,Chalco,1, , ,0, , ,Acuña 1984;Google Maps;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,https://en.wikipedia.org/wiki/16th_century,-98.89639959,19.26195825
193,84,Sierra Nevada de Chalco, ,Volcan Iztaccihuatl,1, ,Mountain Range,0, , ,Acuña 1984;Toponimos50k,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=708,https://en.wikipedia.org/wiki/16th_century,-98.64196198,19.17833388
276,85,Estrecho de Magallanes, ,Estrecho de Magallanes,1, , ,0, , ,GoogleMaps, , ,-70.79557875,-53.5696651
277,86,Ganges,Río Ganges,Río Ganges,1, ,River,0, , ,GoogleMaps, , ,77.15872153,29.79841444
278,87,Honduras, ,Honduras,1, , ,0, , ,GoogleMaps, , ,-87.02079648,14.31639735
201,88,Chalchihuapan,Chalchihuapan de la Asunción,Catedral de Tlaxcala,2, ,Church,0, , ,Acuña 1984;GeoNames_MX,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=931,https://en.wikipedia.org/wiki/16th_century,-98.23757441,19.31365262
279,89,Irlanda, ,Dublin,1, , ,0, , ,GoogleMaps, , ,-6.262448095,53.34681549
216,90,Chanpotón, ,Champotón,1, ,Harbor,0, ,Pueblo,Acuña 1984;GeoNames_MX,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=485,https://en.wikipedia.org/wiki/16th_century,-90.723335,19.357593
113,92,Chiapan, ,Chapa De Mota,1, , ,0, , ,Acuña 1984;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,https://en.wikipedia.org/wiki/16th_century,-99.52638889,19.81527778
281,93,Lacedemonia, ,Sparta,1, , ,0, , ,GoogleMaps, , ,22.42981059,37.0749024
32,94,Chietlan, ,Chietla,1, , ,0, , ,Acuña 1984;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,https://en.wikipedia.org/wiki/16th_century,-98.57861111,18.51833333
