FID,My_FID6,Placename,Alt_names,ModernName,Confidence,Notes,Type,FID_Relate,Relation,My_FID6,FID_Relat2,Type2,References,Type_URL,X,Y,Time_span
363,69,Aticpac Tequilcapan, ,La Magdalena Atlicpac,1,"It may be a pueblo, estancia or barrio dependant on Chimalhuacan", ,20157, ,69,382, ,Acuña 1985;Gibson 1964,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-98.9557,19.3694,https://en.wikipedia.org/wiki/16th_century
387,71,Atl Amaxac, ,"Escobillas, Hidalgo",1,According to Cempoala pintura, ,195, ,71,0, ,Acuña 1985;Allocated by research,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-98.6023,20.0017,https://en.wikipedia.org/wiki/16th_century
173,72,Atlahuimulco, ,Tlamomulco,1, ,Estancia,6,Depends on,72,0, ,Acuña 1985;Allocated by research, ,-98.90590024,18.8765289,https://en.wikipedia.org/wiki/16th_century
315,73,Atlalac, ,Ojo de Agua,1, ,Estancia,178, ,73,0, ,Acuña 1985;Allocated by research, ,-99.79979,18.085,https://en.wikipedia.org/wiki/16th_century
130,76,Atlatlahuca, ,Atlatlahucan,1, , ,0, ,76,0, ,Acuña 1985;INEGI: MEX_topoloc,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-98.89960396,18.9373464,https://en.wikipedia.org/wiki/16th_century
0,77,Atlatlauhcan,Atlatlauhca,San Bartolome Atlatlahuca,1, , ,0, ,77,0, ,Acuña 1985;Google Maps;INEGI: MEX_topoloc,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-99.61271983,19.06955831,https://en.wikipedia.org/wiki/16th_century
182,80,Atlitec, , ,2, ,Estancia,6,Depends on,80,0, ,Acuña 1985;Allocated by research, ,-98.80429772,18.91292687,https://en.wikipedia.org/wiki/16th_century
65,81,Atlitlalaquia, ,Atitalaquia,1, , ,0, ,81,0, ,Acuña 1985;INEGI: MEX_topoloc,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-99.22141532,20.05834079,https://en.wikipedia.org/wiki/16th_century
375,83,Atocan, ,Santiago Atocan,1, ,Barrio,676, ,83,0, ,Acuña 1985;GeoNames_MX, ,-99.0918,19.7405,https://en.wikipedia.org/wiki/16th_century
38,84,Atocpan,Atocpa,Actopan,1, , ,0, ,84,0, ,Acuña 1985;Google Maps;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-98.94287937,20.26906587,https://en.wikipedia.org/wiki/16th_century
125,85,Atotonilco, ,Atotonilco De Tula,1, , ,0, ,85,0, ,Acuña 1985;INEGI: MEX_topoloc,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-99.21997339,20.00937596,https://en.wikipedia.org/wiki/16th_century
191,86,Atoyac, , ,1, ,River,0, ,86,0, ,Acuña 1985;Allocated by research,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=960,-98.22430629,19.02985028,https://en.wikipedia.org/wiki/16th_century
27,87,Atzala, ,Atzala,1, ,Sujeto,651,Depends on,87,0, ,Acuña 1985;Tanck de Estrada 2005: Atlas 1800, ,-99.66027778,18.51277778,https://en.wikipedia.org/wiki/16th_century
502,89,Atzunpan, , ,2,Dissapeared. Located one league to the north from the cabecera,Estancia,513,Depends on,89,0, ,Acuña 1985;Vazquez 1965: 36, ,-99.467573,18.343307,https://en.wikipedia.org/wiki/16th_century
