FID,My_FID8,Placename,Alt_names,ModernName,Confidence,Notes,Type,FID_Relate,Relation,Start_Date,End_Date,References,Type_URL,X,Y,Time_span
71,28,Cerro Patlachtepeque,Patlachtepeque, ,2, ,Hill,196,Near,,,Acuña 1986;Allocated by research,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=710,-99.37410806,20.23051706,https://en.wikipedia.org/wiki/16th_century
92,29,Cerro Tecotepetl,Tecotepetl, ,2, ,Hill,179,Near,30/12/1899 00:00:00,30/12/1899 00:00:00,Acuña 1986;Allocated by research,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=710,-98.85447305,20.16420086,https://en.wikipedia.org/wiki/16th_century
93,31,Cerro Tlaloc,Tlaloc,Monte Tláloc,1, ,Hill,164,Near,30/12/1899 00:00:00,30/12/1899 00:00:00,Acuña 1986;Google Maps,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=710,-98.71376815,19.41491012,https://en.wikipedia.org/wiki/16th_century
94,32,Cerros de Tlalquauhquauhtla,Tlalquauhquauhtla, ,2, ,Mountain Range,18,Near,30/12/1899 00:00:00,30/12/1899 00:00:00,Acuña 1986;Allocated by research,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=708,-99.1103309,20.07505949,https://en.wikipedia.org/wiki/16th_century
23,34,Chalco, ,Chalco,1, , ,0, ,,,Acuña 1986;Google Maps;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-98.89639959,19.26195825,https://en.wikipedia.org/wiki/16th_century
63,36,Chiapantongo, ,Chapantongo,1, , ,0, ,,,Acuña 1986;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-99.41333333,20.28444444,https://en.wikipedia.org/wiki/16th_century
7,37,Chiauhtla, ,Chiautla,1, , ,0, ,,,Acuña 1986;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-98.88194444,19.54805556,https://en.wikipedia.org/wiki/16th_century
64,38,Chilapan, ,Chilapa,1, , ,0, ,,,Acuña 1986;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-99.17666667,17.59861111,https://en.wikipedia.org/wiki/16th_century
82,39,Chimalhuacan,4 villas;Villa del Marquesado,San Vicente Chimalhuacán,1, ,Villa,0, ,,,Acuña 1986;Atlas 2010, ,-98.801667,19.025,https://en.wikipedia.org/wiki/16th_century
56,40,Cholula, ,Cholula De Rivadabia,1, , ,0, ,,,Acuña 1986;Google Maps;INEGI: MEX_topoloc,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-98.30177942,19.05826813,https://en.wikipedia.org/wiki/16th_century
10,41,Cohuatl Ichan, ,Coatlinchan,1, , ,0, ,,,Acuña 1986;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-98.87222222,19.44888889,https://en.wikipedia.org/wiki/16th_century
90,42,Colegio de San Gregorio,Colegio de Indios de San Gregorio,Universidad Obrera de Mexico,1, ,School,0, ,01/01/1586 00:00:00,31/12/1856 00:00:00,Acuña 1986;Allocated by research,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=350,-99.12767277,19.43642204,https://en.wikipedia.org/wiki/16th_century
