FID,My_FID2,Placename,Alt_names,ModernName,Confidence,Notes,FID_Relate,Relation,Start_Date,End_Date,References,Type,Type_URL,X,Y,Time_span
1,140,Estancia Iztlayutlan,Iztlayutlan,Lachigolo,1, ,145,Depends on,,,Acuña 1984;Tanck de Estrada 2005: Atlas 1800,Estancia, ,-96.59583333,17.00694444,https://en.wikipedia.org/wiki/16th_century
32,142,Justlahuaca,Yozocuyya;Xihuixtlahuaca,Juxtlahuaca,1, ,0, ,,,Acuña 1984;Tanck de Estrada 2005: Atlas 1800, ,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-98.01111111,17.33333333,https://en.wikipedia.org/wiki/16th_century
125,145,Macuilsúchil,Quiyebelacayo,Macuilxochitl,1, ,0, ,,,Acuña 1984;Tanck de Estrada 2005: Atlas 1800, ,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-96.54,17.01583333,https://en.wikipedia.org/wiki/16th_century
140,147,Malinaltepeque,Malama;Malinaltepec,Maninaltepec,1, ,28,Depends on,,,Acuña 1984;Tanck de Estrada 2005: Atlas 1800,Pueblo comarcano,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-96.63694444,17.59305555,https://en.wikipedia.org/wiki/16th_century
210,148,Sierra Malinaltepeque,Malinaltepeque;Malinaltepec;Sierra Quitana;Quitana, ,2, ,391,Near,30/12/1899 00:00:00,30/12/1899 00:00:00,Acuña 1984;Allocated by research,Mountain Range,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=708,-96.52426369,17.04285192,https://en.wikipedia.org/wiki/16th_century
231,149,Mar del Norte, , ,2, ,0, ,30/12/1899 00:00:00,30/12/1899 00:00:00,Acuña 1984;Allocated by research,Sea,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=1015,-94.64480019,20.00849701,https://en.wikipedia.org/wiki/16th_century
232,150,Mar del Sur,Océano Pacífico, ,2, ,0, ,30/12/1899 00:00:00,30/12/1899 00:00:00,Acuña 1984;Allocated by research,Sea,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=1015,-97.03376054,14.27338344,https://en.wikipedia.org/wiki/16th_century
143,152,Estancia Mazatepec,Mazatepec,Mazaltepec,1, ,106,Depends on,,,Acuña 1984;Tanck de Estrada 2005: Atlas 1800,Estancia, ,-96.87083333,17.17222222,https://en.wikipedia.org/wiki/16th_century
48,153,Mazatlan, ,Morro de Mazatán,1, ,0, ,,,Acuña 1984;Atlas 2010,Pueblo,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-95.379444,16.096667,https://en.wikipedia.org/wiki/16th_century
62,156,Miahuatlan,Miaguatlan;Quechetao,Miahuatlan De Porfirio Diaz,1, ,0, ,,,Acuña 1984;Google Maps;INEGI: MEX_topoloc, ,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-96.59680914,16.32869862,https://en.wikipedia.org/wiki/16th_century
224,158,Miquitla,Mictla,Mitla,1, ,0, ,30/12/1899 00:00:00,30/12/1899 00:00:00,Acuña 1984;Tanck de Estrada 2005: Atlas 1800, ,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-96.3625,16.92222222,https://en.wikipedia.org/wiki/16th_century
