FID,My_FID7,Placename,Alt_names,ModernName,Confidence,Notes,Type,FID_Relate,Relation,My_FID7,FID_Relat2,Type2,End_Date,References,Type_URL,X,Y,Time_span
70,93,Cuentla, ,Cuentla,1, ,Sujeto,488,Depends on,93,0, ,,Acuña 1986;Tanck de Estrada 2005: Atlas 1800, ,-100.0558333,18.96805555,https://en.wikipedia.org/wiki/16th_century
210,95,Cueva Ecatl Ycamac,Ecatl Ycamac, ,2, ,Cave,0, ,95,0, ,,Acuña 1986;Allocated by research,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=183,-100.0482171,19.03488747,https://en.wikipedia.org/wiki/16th_century
147,98,Cuitlahuaca, ,Tláhuac,1, , ,0, ,98,0, ,,Acuña 1986;Atlas 2010,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-99.004722,19.270556,https://en.wikipedia.org/wiki/16th_century
35,99,Culhuacan, ,Culhuacan,1, ,Sujeto,172,Depends on,99,0, ,,Acuña 1986;Tanck de Estrada 2005: Atlas 1800, ,-99.10694444,19.33777778,https://en.wikipedia.org/wiki/16th_century
129,100,Culhuacan,Culiacán Sinaloa,Culiacan Rosales,1, , ,0, ,100,0, ,,Acuña 1986;Atlas 2010,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-107.393611,24.808611,https://en.wikipedia.org/wiki/16th_century
87,101,Cupandaro, ,Copandaro,1, ,Sujeto,523,Depends on,101,0, ,,Acuña 1986;Tanck de Estrada 2005: Atlas 1800, ,-101.2133333,19.89166667,https://en.wikipedia.org/wiki/16th_century
201,104,Río de Cuzamala,Río de Cutzamala, ,1, ,River,0, ,104,0, ,,Acuña 1986;Allocated by research,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=960,-100.5758801,18.47846333,https://en.wikipedia.org/wiki/16th_century
320,106,Cuzcaquautenango, , ,2,Dissapeared,Sujeto,488,Depends on,106,0, ,,Acuña 1986;Gonzalez 2013, ,-100.088358,18.932477,https://en.wikipedia.org/wiki/16th_century
212,108,Igualtepeque, ,Ihualtepec,1, , ,0, ,108,0, ,,Acuña 1986;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-98.28944444,17.73972222,https://en.wikipedia.org/wiki/16th_century
51,109,Ichcateupan, ,Ixcateopan,1, , ,0, ,109,0, ,,Acuña 1986;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-99.79361111,18.50305556,https://en.wikipedia.org/wiki/16th_century
211,111,San Cristóbal Ecatepec,Acatepec,Ecatepec De Morelos,1, , ,0, ,111,0, ,,Acuña 1986;INEGI: MEX_topoloc,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-99.04541058,19.60235642,https://en.wikipedia.org/wiki/16th_century
41,124,Guaxaca,Oaxaca;Huaxyacac;Antequera,Oaxaca De Juarez,1, , ,0, ,124,0, ,,Acuña 1986;INEGI: MEX_topoloc,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-96.72190157,17.0605374,https://en.wikipedia.org/wiki/16th_century
3,125,Guaxutla, ,Huejutla,1, , ,0, ,125,0, ,,Acuña 1986;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-98.42,21.14027778,https://en.wikipedia.org/wiki/16th_century
7,126,Guayacocotla, ,Huayacocotla,1, , ,0, ,126,0, ,,Acuña 1986;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-98.47972222,20.53527778,https://en.wikipedia.org/wiki/16th_century
2,131,Huexotzingo, ,Huejotzingo,1, , ,0, ,131,0, ,,Acuña 1986;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-98.40611111,19.16,https://en.wikipedia.org/wiki/16th_century
219,133,Hueyapan,San Juan Hueyapan,San Juan de Dios,2, ,Estancia,3,Depends on,133,0, ,,Acuña 1986;GeoNames_MX, ,-99.55428,18.55,https://en.wikipedia.org/wiki/16th_century
79,134,Hueyapan, ,Hueyapan,1, ,Cabecera,0, ,134,0, ,,Acuña 1986;Tanck de Estrada 2005: Atlas 1800, ,-98.69138889,18.88388889,https://en.wikipedia.org/wiki/16th_century
6,136,Hueyotlipan,Hueyotlipa;Guayotipla,Hueyotlipan,1, , ,0, ,136,0, ,,Acuña 1986;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-98.34583333,19.46861111,https://en.wikipedia.org/wiki/16th_century
112,137,Hueypustla, ,Hueypoxtla,1, , ,0, ,137,0, ,,Acuña 1986;Google Maps;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-99.07836928,19.90709696,https://en.wikipedia.org/wiki/16th_century
60,139,Huitzilopochco,Churubusco;Huitzilupuchco,Churubusco,1, ,Sujeto,172,Depends on,139,0, ,,Acuña 1986;Tanck de Estrada 2005: Atlas 1800, ,-99.14611111,19.35416667,https://en.wikipedia.org/wiki/16th_century
36,142,Iguala, ,Iguala De La Independencia,1, , ,0, ,142,0, ,,Acuña 1986;INEGI: MEX_topoloc,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-99.54007548,18.34596387,https://en.wikipedia.org/wiki/16th_century
72,145,Iztapalapan,Iztapalapa,Iztapalapa,1, ,Sujeto,172,Depends on,145,0, ,,Acuña 1986;Tanck de Estrada 2005: Atlas 1800, ,-99.09305556,19.35833333,https://en.wikipedia.org/wiki/16th_century
82,146,Iztapan, ,Ixtapan De La Sal,1, ,Sujeto,455,Depends on,146,488, ,,Acuña 1986;Tanck de Estrada 2005: Atlas 1800, ,-99.67527778,18.84416667,https://en.wikipedia.org/wiki/16th_century
76,151,Jalisco, ,Xalisco,1, , ,0, ,151,0, ,,Acuña 1986;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-104.9013889,21.44388889,https://en.wikipedia.org/wiki/16th_century
296,153,La Concepción De Nuestra Señora Texuxula, , ,2,Located one league to the west. Dissapeared,Estancia,32,Depends on,153,0, ,,Acuña 1986;Vazquez 1965: 30, ,-99.681393,18.507398,https://en.wikipedia.org/wiki/16th_century
148,154,La Laguna, , ,1, ,Lake,0, ,154,0, ,,Acuña 1986;Allocated by research,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=596,-99.02290458,19.48152069,https://en.wikipedia.org/wiki/16th_century
37,155,La Puebla,Puebla;Puebla ciudad de los Angeles;Ciudad de Angeles,Heroica Puebla de Zaragoza,1, , ,0, ,155,0, ,,Acuña 1986;Atlas 2010,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-98.197222,19.043889,https://en.wikipedia.org/wiki/16th_century
284,156,La Trinidad, ,La Trinidad,2, ,Sujeto,463,Depends on,156,0, ,,Acuña 1986;GeoNames_MX, ,-98.541944,19.875278,https://en.wikipedia.org/wiki/16th_century
149,158,Los Reyes, ,Los Reyes,1, ,Sujeto,463,Depends on,158,0, ,,Acuña 1986;Atlas 2010, ,-98.533611,19.7875,https://en.wikipedia.org/wiki/16th_century
167,160,Los Reyes Payntlan, ,Paintla,1, ,Estancia,32,Depends on,160,0, ,,Acuña 1986;Atlas 2010, ,-99.655,18.503333,https://en.wikipedia.org/wiki/16th_century
158,162,Los Tres Reyes Izquitlan, ,San Pablo Ixquitlan,1, ,Sujeto,9,Depends on,162,0, ,,Acuña 1986;Google Maps;Google Earth;unikloc10gw, ,-98.787923,19.709833,https://en.wikipedia.org/wiki/16th_century
241,163,Mal Paises Del Volcán, ,Malpaís de Nealtican,2,Se refiere a un término de geomorfología: el malpaís es un accidente del relieve con rocas poco erosionadas de origen volcánico., ,0, ,163,0, ,,Acuña 1986;GeoNames_MX,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-98.4729,19.0394,https://en.wikipedia.org/wiki/16th_century
33,164,Malinalco, ,Malinalco,1, , ,0, ,164,0, ,,Acuña 1986;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-99.49472222,18.94833333,https://en.wikipedia.org/wiki/16th_century
196,166,Mar del Norte, , ,2, ,Sea,0, ,166,0, ,,Acuña 1986;Allocated by research,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=1015,-94.64480019,20.00849701,https://en.wikipedia.org/wiki/16th_century
193,167,Mar del Sur, , ,2, ,Sea,0, ,167,0, ,,Acuña 1986;Allocated by research,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=1015,-97.03376054,14.27338344,https://en.wikipedia.org/wiki/16th_century
40,169,Mazamamaloya, ,San Mateo De Los Ranchos (Almomoloa),1, ,Sujeto,487,Depends on,169,0, ,,Acuña 1986;Tanck de Estrada 2005: Atlas 1800, ,-99.93111111,19.145,https://en.wikipedia.org/wiki/16th_century
236,170,Mazatepeque, ,Mazatepec,1, ,Sujeto,455,Depends on,170,0, ,,Acuña 1986;unickloc10gw, ,-100.099722,18.901111,https://en.wikipedia.org/wiki/16th_century
49,172,Mexicaltzingo,Mexicaltzinco,Mexicaltzingo,1,Corregimiento,Cabecera,0, ,172,0, ,,Acuña 1986;Tanck de Estrada 2005: Atlas 1800, ,-99.11888889,19.35555555,https://en.wikipedia.org/wiki/16th_century
150,173,México, ,Museo del Templo Mayor,1, , ,0, ,173,0, ,,Acuña 1986;Google Maps;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-99.1313711,19.43492025,https://en.wikipedia.org/wiki/16th_century
29,175,Meztitlan, ,Metztitlan,1,Alcadía Mayor,Cabecera,0, ,175,0, ,,Acuña 1986;INEGI: MEX_topoloc, ,-98.76306062,20.5943101,https://en.wikipedia.org/wiki/16th_century
57,178,Minas de Izmiquilpa,Izmiquilpa;Izquimilpan,Ixmiquilpan,1, ,Mining Camp,0, ,178,0, ,,Acuña 1986;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=685,-99.21861111,20.48222222,https://en.wikipedia.org/wiki/16th_century
197,179,Minas de Pachuca, ,Pachuca de Soto,1, ,Mining Camp,0, ,179,0, ,,Acuña 1986;Atlas 2010,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=685,-98.736944,20.122222,https://en.wikipedia.org/wiki/16th_century
109,180,Minas de Temazcaltepec,Temazcaltepec;Real de los Ríos,Real de Arriba,1, ,Mining Camp,0, ,180,0, ,,Acuña 1986;Google Maps;GeoNames_MX,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=685,-100.0044688,19.04004243,https://en.wikipedia.org/wiki/16th_century
198,181,Minas de Tzacualpa,Tzacualpa;Tzacualpan;Tzaqualpan;Tzaqlpan, ,1, ,Mining camp,0, ,181,0, ,,Acuña 1986;Allocated by research,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=685,-99.79299459,18.7189456,https://en.wikipedia.org/wiki/16th_century
151,182,Minas de Zultepeque,Zultepeque;Sultepeque,Sultepequito,1, ,Mining Camp,0, ,182,0, ,,Acuña 1986;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=685,-100.0180556,18.80638889,https://en.wikipedia.org/wiki/16th_century
11,184,Molango, ,Molango,1,Corregimiento,Cabecera,0, ,184,0, ,,Acuña 1986;INEGI: MEX_topoloc, ,-98.72372639,20.78758608,https://en.wikipedia.org/wiki/16th_century
122,188,Nochtepec,Nochtepeque;Nochtepeque de Citlaltepec,Noxtepec,1, ,Cabecera,446,Depends on,188,0, ,,Acuña 1986;Tanck de Estrada 2005: Atlas 1800, ,-99.69416667,18.66138889,https://en.wikipedia.org/wiki/16th_century
130,189,Nuestra Señora de la Concepción Chichilan, ,Chichila,1, ,Estancia,559,Depends on,189,0, ,,Acuña 1986;Atlas 2010, ,-99.701111,18.550556,https://en.wikipedia.org/wiki/16th_century
126,194,Oceloapan, ,Otzoloapan,1, ,Sujeto,455,Depends on,194,0, ,,Acuña 1986;Tanck de Estrada 2005: Atlas 1800, ,-100.295,19.11694444,https://en.wikipedia.org/wiki/16th_century
